Sample,Total,Aligned,Concordant
Aip02,84149,76940,75496
Aip05,94692,87758,86058
Aip06,109057,92874,88492
Aip12,109329,95518,93630
Aip13,164372,146666,144274
Aip14,96126,85529,83340
Aip15,119384,106170,103810
Aip17,101682,87885,85570
Aip18,111711,95326,91568
Aip19,104699,91028,88646
Aip20,112709,87070,84366
Aip21,148175,129405,125692
Aip23,116631,102226,99752
Aip24,91625,80371,77332
Aip25,124056,107104,103746
Aip26,89301,79853,77668
Aip28,84592,63429,60438
Aip29,133495,123241,121056
Aip30,117032,103734,100850
Aip32,106906,95690,92658
Aip33,136070,121131,118176
Aip34,88262,78727,76426
Aip35,142666,131000,128498
Aip36,107007,89648,87384
